group,run,tag,x,value
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,43,0.1353987455368042
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,44,0.1353721022605896
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,45,0.13541248440742493
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,46,0.13541559875011444
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,47,0.13483427464962006
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,48,0.13509002327919006
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,49,0.13543622195720673
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,50,0.1348433643579483
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,51,0.13546985387802124
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,52,0.135591521859169
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,53,0.134823277592659
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,54,0.1346505880355835
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,55,0.13483557105064392
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,56,0.1350359320640564
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,57,0.13491499423980713
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,58,0.1352733075618744
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,59,0.13502159714698792
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,60,0.13450786471366882
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,61,0.13490061461925507
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,62,0.134414941072464
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,63,0.13492007553577423
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,64,0.1349172741174698
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,65,0.13440212607383728
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,66,0.134353905916214
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,67,0.13483621180057526
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,68,0.13526104390621185
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,69,0.13437698781490326
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,70,0.13477042317390442
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,71,0.1344265341758728
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,72,0.13419698178768158
